,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableCurrent,19722.000,9910.000,8222.000,35293.000,0.000,0.000
AccountsPayableRelatedPartiesCurrent,101500.000,175733.000,203833.000,239333.000,302661.000,343662.000
AccruedLiabilitiesCurrent,15500.000,19000.000,14000.000,13500.000,17000.000,34104.000
AdditionalPaidInCapital,200700.000,200700.000,200700.000,200700.000,200700.000,200700.000
Assets,65575.000,70800.000,66180.000,70475.000,72062.000,64062.000
AssetsCurrent,64992.000,68800.000,66180.000,70475.000,72062.000,64062.000
Cash,897.000,4705.000,85.000,4380.000,5967.000,-33.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000
CommonStockSharesOutstanding,0.000,0.000,30000.000,30000.000,30000.000,30000.000
CommonStockValue,300.000,300.000,300.000,300.000,300.000,300.000
DeferredOfferingCosts,64095.000,64095.000,64095.000,64095.000,64095.000,64095.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,272147.000,334843.000,360875.000,418651.000,448599.000,514704.000
LiabilitiesAndStockholdersEquity,65575.000,70800.000,66180.000,70475.000,72062.000,64062.000
LiabilitiesCurrent,136722.000,204643.000,226055.000,288126.000,319661.000,377766.000
OtherAssetsNoncurrent,583.000,2000.000,,,0.000,
PreferredStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,,,,0.000,0.000
PrepaidExpenseCurrent,,,2000.000,2000.000,2000.000,0.000
StockholdersEquity,-71147.000,-133843.000,-159875.000,-217651.000,-247599.000,-313704.000
