,2017-04-01
AccountsPayableCurrent,212560000.000
AccountsReceivableNetCurrent,439096000.000
AccruedEnvironmentalLossContingenciesCurrent,500000.000
AccruedEnvironmentalLossContingenciesNoncurrent,100000.000
AccruedLiabilitiesCurrent,166187000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1029721000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-175339000.000
AdditionalPaidInCapital,665334000.000
AllowanceForDoubtfulAccountsReceivable,3900000.000
Assets,2677850000.000
AssetsCurrent,1018793000.000
CashAndCashEquivalentsAtCarryingValue,185505000.000
CommonStockParOrStatedValuePerShare,0.010
CommonStockSharesAuthorized,900000000.000
CommonStockSharesHeldInEmployeeTrust,12400000.000
CommonStockSharesHeldInEmployeeTrustShares,193941.000
CommonStockSharesOutstanding,104744087.000
CommonStockValue,1047000.000
DebtInstrumentCarryingAmount,1245615000.000
DeferredRevenueAndCredits,75924000.000
DeferredTaxAssetsLiabilitiesNetNoncurrent,288117000.000
DeferredTaxLiabilitiesNoncurrent,11014000.000
DefinedBenefitPensionPlanLiabilitiesNoncurrent,126544000.000
EmployeeRelatedLiabilitiesCurrent,125102000.000
Goodwill,492788000.000
IntangibleAssetsNetExcludingGoodwill,116195000.000
InventoryFinishedGoodsNetOfReserves,85070000.000
InventoryNet,365744000.000
InventoryRawMaterialsNetOfReserves,246737000.000
InventoryWorkInProcessNetOfReserves,33937000.000
Liabilities,1963106000.000
LiabilitiesAndStockholdersEquity,2677850000.000
LiabilitiesCurrent,519166000.000
LineOfCreditFacilityRemainingBorrowingCapacity,262900000.000
LongTermDebtCurrent,15157000.000
LongTermDebtNoncurrent,1230458000.000
NotesAndLoansPayableCurrent,15317000.000
OtherAssetsCurrent,27465000.000
OtherAssetsNoncurrent,56600000.000
PreferredStockParOrStatedValuePerShare,0.010
PreferredStockSharesAuthorized,90000000.000
PreferredStockSharesIssued,0.000
PreferredStockSharesOutstanding,0.000
PreferredStockValue,0.000
PropertyPlantAndEquipmentGross,1735078000.000
PropertyPlantAndEquipmentNet,705357000.000
RestrictedCashAndCashEquivalentsAtCarryingValue,983000.000
RestructuringReserve,5155000.000
RestructuringReserveCurrent,1600000.000
RestructuringReserveNoncurrent,3500000.000
RetainedEarningsAccumulatedDeficit,223702000.000
SelfInsuranceReserve,73100000.000
StandardProductWarrantyAccrual,46206000.000
StandardProductWarrantyAccrualCurrent,18921000.000
StandardProductWarrantyAccrualNoncurrent,27285000.000
StockholdersEquity,714744000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,714744000.000
TemporaryEquityCarryingAmountAttributableToParent,0.000
UnamortizedDebtIssuanceExpense,18102000.000
UnrecognizedTaxBenefits,11600000.000
