,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AccountsPayableCurrent,23679.000,0.000,441885.000,315758.000,654319.000,639572.000,627007.000,634442.000,621876.000,25830.000
AccountsReceivableNetCurrent,28585.000,0.000,0.000,0.000,0.000,,,,,
AccruedLiabilitiesCurrent,5500.000,0.000,,,0.000,17552.000,29165.000,29536.000,26675.000,26000.000
AdditionalPaidInCapital,45998.000,136535.000,710464.000,1110387.000,1432816.000,1757747.000,1975949.000,2089794.000,2094640.000,2094640.000
Assets,37246.000,24358.000,1279118.000,1372456.000,1334016.000,1423252.000,1424711.000,1436927.000,1405029.000,1400503.000
AssetsCurrent,37246.000,24358.000,4546.000,98184.000,59744.000,64180.000,65639.000,77855.000,9229.000,3666.000
Cash,7574.000,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,7574.000,24358.000,4546.000,85283.000,4369.000,50818.000,12839.000,69855.000,3091.000,3.000
CommitmentsAndContingencies,,,,,,,,0.000,0.000,0.000
CommonStockSharesAuthorized,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,124100000.000,126175000.000,87387500.000,87155176.000,88371843.000,87566287.000,88044065.000,88341287.000,88416287.000,88416287.000
CommonStockSharesSubscriptions,,,300.000,100.000,50.000,0.000,0.000,0.000,0.000,
CommonStockValue,12410.000,12618.000,8739.000,8716.000,8837.000,8756.000,8804.000,8834.000,8841.000,8841.000
DeferredIncomeTaxesAndOtherAssetsCurrent,,,,,,,,,0.000,0.000
DeferredTaxAssetsNet,,,,,,,,,485064.000,505398.000
DeferredTaxAssetsNetNoncurrent,,,,,,,,,0.000,0.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,485064.000,505398.000
DueToOfficersOrStockholdersCurrent,,,28356.000,28356.000,28356.000,28356.000,28356.000,28356.000,28356.000,28356.000
Liabilities,,,,,,,,,706907.000,693488.000
LiabilitiesAndStockholdersEquity,37246.000,24358.000,1279118.000,1372456.000,1334016.000,1423252.000,1424711.000,1436927.000,1405029.000,1400503.000
LiabilitiesCurrent,59723.000,28357.000,470541.000,344214.000,682725.000,685480.000,684528.000,692334.000,676907.000,663488.000
LiabilitiesNoncurrent,,,611195.000,598630.000,,50000.000,50000.000,30000.000,30000.000,30000.000
LiabilityForUncertainTaxPositionsCurrent,,,,,,0.000,0.000,0.000,0.000,
LoansPayableCurrent,30544.000,28357.000,0.000,,0.000,,,,,
MineralPropertiesAccumulatedDepletion,,,,,0.000,0.000,0.000,0.000,0.000,
MineralPropertiesGross,,,,,1274272.000,1359072.000,1359072.000,1359072.000,1369072.000,1369072.000
MineralPropertiesNet,,,,,1274272.000,,,,1369072.000,
MineralRights,,,1274572.000,1274272.000,,,,,,
MinorityInterest,,0.000,,,,0.000,0.000,0.000,0.000,
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,1087.000,0.000,0.000,12901.000,5375.000,13362.000,2800.000,8000.000,6138.000,3663.000
RetainedEarningsAccumulatedDeficit,-80885.000,-88952.000,-88952.000,-88952.000,-88952.000,-88952.000,-88952.000,-88952.000,-88952.000,-88952.000
StockholdersEquity,-22477.000,-3999.000,197382.000,429612.000,651291.000,687772.000,690183.000,714593.000,698122.000,707015.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,698122.000,707015.000
UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,,,,,,,,,1426659.000,1486466.000
ValuationAllowanceAmount,,,,,,,,,-485064.000,-505398.000
WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,124100000.000,,,,,,,,,
